source_path	source_bucket	asset_type	score	routing_decision	target_repo	target_path_proposed	requires_redaction	requires_human_review	prohibited_to_ingest	notes
reviews/daily-style-2026-04-22.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-04-23.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-04-25.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-04-27.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-04-28.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-04-29.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-04-30.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-01.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-02.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-03.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-04.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-05.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-06.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-08.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-09.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-10.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-11.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-12.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-13.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-15.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-16.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-19.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-20.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-23.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-24.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-25.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-26.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-27.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-28.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-29.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/daily-style-2026-05-30.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	daily style log
reviews/layout-check-smoke-readme-not-database.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
reviews/style-greenlight-smoke-readme-not-database.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
reviews/system-fact-sheet.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
reviews/tech-materials-2026-05-16-one-person-one-team.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
reviews/tech-materials-ep001.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
reviews/tech-materials-ep002-ep005-batch.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
reviews/tech-materials-ep006-ep009-batch.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
reviews/tech-materials-ep010-ep012-batch.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
reviews/tech-materials-smoke-readme-not-database.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/review/	no	no	no	
scripts/build_wechat_copy_workbench.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	yes	no	
scripts/preflight_article_publish.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/preflight_canary_fast.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/preflight_cover_single.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/preflight_publish_bundle.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/preflight_release_v2_offline.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/run_canary_fast_preflight_tests.sh	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/run_cover_single_tests.sh	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/run_manual_publish_tool_eval.sh	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	
scripts/run_publish_bundle_tests.sh	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/run_publish_map_validation_tests.sh	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/run_publish_preflight_tests.sh	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/run_release_v2_offline_tests.sh	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/run_wechat_copy_workbench.sh	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	
scripts/test_preflight_article_publish.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/test_preflight_canary_fast.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/test_preflight_cover_single.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/test_preflight_publish_bundle.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/test_preflight_release_v2_offline.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/test_validate_publish_map.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	test script
scripts/validate_publish_map.py	playbook	script	unknown	extract-methodology	ai-collaboration-playbook	ai-collaboration-playbook/script/	no	no	no	
visuals/2026-04-22-season1-cover-prompts-batch-a.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/visual/	no	no	no	season1 series
visuals/2026-04-22-season1-cover-prompts-batch-b.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/visual/	no	no	no	season1 series
visuals/2026-04-22-season1-cover-prompts-batch-c.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/visual/	no	no	no	season1 series
visuals/2026-04-22-season1-cover-prompts-index.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/visual/	no	no	no	season1 series
visuals/2026-04-launch-images.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/visual/	no	no	no	
visuals/2026-05-agent-series-prompts.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/visual/	no	no	no	
visuals/generated-covers/	content-lab	other	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/visual/	no	no	no	
wechat-drafts-rich/	private-repo	other	15-19	stay-private-repo	maijian-wechat-private-repo	maijian-wechat-private-repo/draft/	no	no	no	
wechat-drafts/	private-repo	other	15-19	stay-private-repo	maijian-wechat-private-repo	maijian-wechat-private-repo/draft/	no	no	no	
